Team,Conference,Final_Score,Experience,Off_TO_Pct,Def_TO_Pct,Turnover_Margin,KenPom_Rank,AdjEM,AdjOE,AdjDE,AdjOE_Rank,AdjDE_Rank,defensive_rating_score,offensive_rating_score,recent_performance_score,experience_score,turnover_margin_score,Final_Rank,Rank_Change
Auburn,SEC,99.36923076923077,2.81,13.6,17.4,3.799999999999999,4,35.10000000000001,127.2,92.1,3,9,100.0,100.0,98,100,95.38461538461539,1,3
Houston,B12,99.21098901098901,2.67,14.2,20.9,6.699999999999999,2,36.60000000000001,123.4,86.8,12,1,100.0,98.7032967032967,98,100,100.0,2,0
Tennessee,SEC,97.39780219780219,2.94,16.1,17.7,1.5999999999999979,5,31.0,120.7,89.7,17,3,100.0,97.32967032967034,98,100,71.97802197802197,3,2
Florida,SEC,96.24560439560439,2.44,15.7,16.6,0.9000000000000021,3,36.39999999999999,128.2,91.8,2,6,100.0,100.0,98,90,62.91208791208791,4,-1
Duke,ACC,96.19065934065934,1.96,14.0,17.1,3.1000000000000014,1,39.3,130.1,90.8,1,5,100.0,100.0,98,80,91.81318681318682,5,-4
Gonzaga,WCC,95.97912087912087,2.99,13.4,18.0,4.6,8,28.0,124.7,96.7,6,29,91.48351648351648,100.0,93,100,98.68131868131869,6,2
Maryland,B10,95.72197802197803,2.16,14.3,20.1,5.800000000000001,10,27.0,118.9,91.9,23,7,100.0,95.4065934065934,93,90,100.0,7,3
Iowa St.,B12,94.67802197802199,2.8,17.0,21.6,4.600000000000001,12,26.599999999999994,119.8,93.2,19,13,98.42857142857143,96.5054945054945,85,95,98.95604395604396,8,4
Texas Tech,B12,94.63021978021979,2.63,14.2,17.1,2.900000000000002,9,27.90000000000001,125.4,97.5,5,39,89.28571428571429,100.0,93,100,84.89010989010988,9,0
Mississippi,SEC,93.74120879120879,3.48,12.9,20.2,7.299999999999999,22,23.3,119.1,95.8,22,23,95.68131868131869,95.95604395604396,85,95,100.0,10,12
Clemson,ACC,92.86923076923077,3.03,15.8,20.0,4.199999999999999,23,23.200000000000003,118.2,95.0,28,17,97.32967032967034,91.75824175824175,85,95,97.85714285714286,11,12
Wisconsin,B10,92.27142857142857,2.61,14.0,14.5,0.5,11,26.60000000000001,122.9,96.3,13,24,95.13186813186813,98.42857142857143,85,95,59.065934065934066,12,-1
Alabama,SEC,91.56153846153848,2.99,16.6,13.5,-3.1000000000000014,6,30.3,126.8,96.5,4,28,92.3076923076923,100.0,93,100,5.384615384615385,13,-7
Michigan St.,B10,91.33736263736265,1.61,16.4,15.9,-0.4999999999999982,7,28.39999999999999,118.8,90.4,25,4,100.0,95.13186813186813,93,80,43.956043956043956,14,-7
Texas A&M,SEC,91.30494505494505,2.97,17.8,19.4,1.5999999999999979,19,23.599999999999994,116.5,92.9,42,10,100.0,88.18681318681318,85,95,71.97802197802197,15,4
Missouri,SEC,90.51098901098902,2.68,15.5,20.1,4.600000000000001,18,23.60000000000001,124.4,100.8,8,68,81.04395604395604,100.0,85,95,98.95604395604396,16,2
Arizona,B12,90.50384615384615,2.72,16.0,16.2,0.1999999999999993,13,26.40000000000001,123.7,97.3,11,38,89.56043956043956,98.97802197802197,85,95,53.84615384615385,17,-4
UCLA,B10,90.3967032967033,2.23,15.9,22.8,6.9,20,23.5,117.3,93.8,37,14,98.15384615384616,89.83516483516483,85,80,100.0,18,2
Kentucky,SEC,88.65384615384616,3.06,15.1,14.2,-0.9000000000000004,16,24.5,123.7,99.2,10,51,85.43956043956044,100.0,85,95,35.43956043956044,19,-3
Louisville,ACC,88.50934065934065,3.18,16.3,18.5,2.1999999999999993,27,21.8,118.1,96.3,31,25,95.13186813186813,91.48351648351648,75,90,80.4945054945055,20,7
St. John's,BE,88.3956043956044,2.34,15.3,21.4,6.099999999999998,14,26.0,114.0,88.0,68,2,100.0,81.31868131868131,85,80,100.0,21,-7
Kansas,B12,88.22362637362637,3.64,16.9,15.6,-1.299999999999999,24,22.90000000000001,115.9,93.0,52,11,98.97802197802197,85.71428571428571,85,95,31.318681318681318,22,2
Oregon,B10,87.8087912087912,2.68,16.2,17.5,1.3000000000000007,27,21.8,117.6,95.8,34,21,95.68131868131869,90.65934065934066,75,90,68.13186813186813,23,4
Purdue,B10,86.96428571428571,1.74,15.7,17.5,1.8000000000000007,15,25.39999999999999,124.6,99.2,7,53,85.43956043956044,100.0,85,70,76.64835164835165,24,-9
Baylor,B12,86.7510989010989,2.74,15.9,18.6,2.700000000000001,30,20.89999999999999,121.3,100.4,16,62,82.6923076923077,97.6043956043956,75,90,83.24175824175825,25,5
VCU,A10,86.74450549450549,2.66,16.8,20.5,3.6999999999999993,34,19.5,116.0,96.5,51,27,92.3076923076923,85.98901098901099,75,90,95.10989010989012,26,8
Saint Mary's,WCC,85.7967032967033,1.7,14.9,16.3,1.4000000000000004,25,22.700000000000003,114.7,92.0,63,8,100.0,82.6923076923077,85,70,69.78021978021978,27,-2
Marquette,BE,85.47252747252747,2.08,13.6,21.4,7.799999999999999,29,21.0,117.4,96.4,35,26,92.85714285714286,90.38461538461539,75,70,100.0,28,1
Michigan,B10,85.06703296703296,2.27,19.6,15.8,-3.8000000000000007,21,23.40000000000001,116.5,93.1,43,12,98.7032967032967,88.18681318681318,85,80,0.0,29,-8
Mississippi St.,SEC,85.0587912087912,2.28,15.3,18.9,3.599999999999998,33,20.10000000000001,118.9,98.8,24,46,87.36263736263736,95.4065934065934,75,70,94.56043956043956,30,3
Xavier,BE,84.4478021978022,3.54,15.6,17.6,2.0000000000000018,43,17.200000000000003,116.2,99.0,47,48,86.81318681318682,86.53846153846155,75,90,78.84615384615384,31,12
Texas,SEC,84.15934065934066,2.85,14.4,16.4,1.9999999999999982,47,16.89999999999999,117.3,100.4,36,61,82.6923076923077,89.83516483516483,75,90,78.02197802197803,32,15
