GOAT_Rank,name,era,SWISH_Score,swish_version,peak_dominance_score,career_value_score,championship_impact_score,individual_honors_score,statistical_excellence_score,longevity_score,career_ppg,career_rpg,career_apg,career_per,career_ws,career_ts_pct,career_stl_per_g,career_blk_per_g,championships,finals_mvp,mvp,all_star,dpoy,all_defensive_first,all_defensive_second
1,Michael Jordan,golden_age,91.06883913179844,2.1,94.1875,89.14178571428573,88.16800060404711,100.0,85.30357142857143,89.73846153846154,30.1,6.2,5.3,27.9,214.0,0.5805,2.3,0.3,6,6,5,14,1,9,0
2,LeBron James,modern,85.6833603896104,2.1,93.0625,99.72727272727272,73.0,77.94285714285714,72.22651515151514,100.0,27.2,7.5,7.3,27.3,256.0,0.5783,1.3,0.3,4,4,4,20,0,5,1
3,Kareem Abdul-Jabbar,early_modern,82.9210817805383,2.1,88.0,90.6725543478261,68.6,84.08571428571429,72.6358695652174,99.58333333333333,24.6,11.2,3.6,24.6,273.4,0.6311,0.7,1.5,6,2,6,19,0,5,6
4,Tim Duncan,post_jordan,80.05855438596491,2.1,86.875,79.44024999999999,80.0,72.5,68.125,97.01754385964912,19.0,10.8,3.0,24.0,206.4,0.5756,1.0,2.2,5,3,2,15,0,8,7
5,Shaquille O'Neal,post_jordan,76.81933753176648,2.1,86.575,73.49163815789474,72.72727272727272,52.93571428571428,84.72039473684211,96.12139001349527,23.7,10.9,2.5,26.4,181.7,0.6346999999999999,0.7,1.5,4,3,1,15,0,0,3
6,Wilt Chamberlain,pre_merger,76.25870664335665,2.1,90.8125,93.32315151515152,30.709090909090907,81.0,82.63257575757575,87.44871794871796,30.1,22.9,4.4,26.1,247.3,0.5911000000000001,0.7,8.0,2,1,4,13,0,2,0
7,Kobe Bryant,post_jordan,74.62840028480291,2.1,82.7125,73.06532535885168,70.0,70.53571428571429,59.56096491228068,99.58333333333333,25.0,5.2,4.7,22.9,172.7,0.5307,1.3,0.3,5,2,1,18,0,9,3
8,Hakeem Olajuwon,golden_age,70.49623439007476,2.1,78.9892857142857,68.32925,61.2937030859049,61.09615384615385,68.62738095238096,93.1525641025641,21.8,11.1,2.5,23.6,162.8,0.5832,0.7,3.1,2,2,1,12,2,5,4
9,Magic Johnson,golden_age,69.33739782717282,2.1,76.08035714285714,69.33371428571428,74.45454545454545,56.59615384615385,58.55654761904761,80.9076923076923,19.5,7.2,11.2,24.1,155.8,0.6048,1.9,0.3,5,3,3,12,0,0,0
10,Larry Bird,golden_age,68.76558314185814,2.1,85.9375,71.44942857142857,50.08181818181817,59.496153846153845,67.6827380952381,81.94999999999999,24.3,10.0,6.3,23.5,145.8,0.5846,1.0,0.8,3,2,3,12,0,0,3
11,Kevin Durant,modern,67.42422570762571,2.1,82.7125,70.18243181818181,44.56818181818182,50.32142857142857,76.35378787878787,89.30320512820512,27.3,7.1,4.3,25.3,158.8,0.5874,1.0,0.8,2,2,1,13,0,0,0
12,Karl Malone,golden_age,66.83502068808386,2.1,86.6875,88.87528571428572,13.15909090909091,59.3,70.17857142857143,96.68859649122807,25.0,10.1,3.6,23.9,234.6,0.5902000000000001,1.0,0.8,0,0,2,14,0,3,1
13,Dirk Nowitzki,post_jordan,64.3453442185008,2.1,75.475,76.16563157894737,46.88636363636363,40.25,60.96074561403507,94.58333333333333,20.7,7.5,2.4,22.4,206.3,0.5589,1.0,0.8,1,1,1,14,0,0,0
14,Giannis Antetokounmpo,modern,63.58978982128982,2.1,87.025,58.73530303030303,35.87043512043512,54.5,78.59848484848484,72.98869463869464,23.4,9.8,5.0,26.0,113.0,0.6185,0.7,1.5,1,1,2,8,1,5,0
15,Stephen Curry,modern,62.05987462537462,2.1,81.1,65.18878787878788,48.36363636363636,43.285714285714285,56.48030303030302,81.6448717948718,24.8,4.7,6.4,23.8,136.0,0.5638,1.3,0.3,4,1,2,10,0,0,0
16,David Robinson,golden_age,62.03419378954379,2.1,82.6,71.726375,20.986363636363635,52.13131868131868,72.93154761904762,82.12216117216117,21.1,10.6,2.5,26.2,178.7,0.5916,0.7,3.0,2,0,1,10,1,4,4
17,Kevin Garnett,post_jordan,59.47728951925268,2.1,72.30723684210525,74.85615311004784,16.75,56.75,58.039473684210535,94.76190476190476,17.8,10.0,3.7,22.5,191.4,0.5759,1.0,0.8,1,0,1,15,1,9,3
18,Bob Pettit,golden_age,58.78526465201466,2.1,89.5,64.31,12.3,54.47802197802198,64.87023809523808,76.61025641025641,26.4,16.2,3.0,25.4,136.0,0.5121,0.7,1.5,1,0,2,11,0,0,0
19,Jerry West,pre_merger,58.68298113553114,2.1,74.94886363636364,66.81054545454545,25.33181818181818,50.94285714285714,60.9280303030303,84.84102564102564,27.0,5.8,6.7,22.9,162.6,0.5554,1.3,0.3,1,1,0,14,0,4,1
20,Oscar Robertson,pre_merger,58.38547186880915,2.1,77.83863636363634,79.0455952747817,10.763636363636364,48.392857142857146,59.09090909090908,87.33333333333334,25.7,7.5,9.5,23.2,189.2,0.5688,1.3,0.3,1,0,1,12,0,0,0
21,Moses Malone,golden_age,58.3099042913227,2.1,81.2875,62.67885714285715,22.709090909090907,51.39615384615385,52.74880952380951,93.53070175438596,20.6,12.2,1.4,22.3,167.1,0.5679,1.0,0.8,1,1,3,12,0,1,1
22,Chris Paul,golden_age,57.939873646967065,2.1,63.04642857142857,79.667,27.574675324675333,47.94615384615385,50.179166666666646,91.63454790823211,17.5,4.5,9.4,24.8,213.2,0.5578,2.1,0.3,0,0,0,12,0,7,2
23,John Havlicek,golden_age,56.93633627622378,2.1,63.6625,57.42713392857143,56.72727272727273,47.9,31.297904761904746,94.9326923076923,20.8,6.3,4.8,17.7,131.7,0.5205,1.0,0.8,8,1,0,13,0,5,3
24,Charles Barkley,golden_age,56.333940584415586,2.1,80.5,71.01057142857142,8.386363636363635,39.44230769230769,65.16369047619048,86.63653846153845,22.1,11.7,3.9,24.6,177.2,0.6145,1.0,0.8,0,0,1,11,0,0,0
25,Bill Russell,pre_merger,56.26893269230769,2.1,47.3125,68.933125,46.25,61.5,42.150000000000006,82.22307692307692,15.1,22.5,4.3,18.9,163.5,0.4961,0.7,8.0,11,0,5,12,0,1,0
26,James Harden,golden_age,54.60072047119547,2.1,78.3625,74.32485714285716,10.159090909090908,43.21703296703297,47.44464285714285,84.32179487179486,24.1,5.6,7.1,22.5,164.7,0.5271,1.3,0.3,0,0,1,10,0,0,0
27,Anthony Davis,golden_age,53.1024663003663,2.1,80.9125,57.051125,10.8,25.984615384615385,81.08630952380952,72.89102564102564,24.1,10.6,2.5,26.9,119.8,0.5998,0.7,2.3,1,0,0,9,0,2,2
28,Elgin Baylor,golden_age,52.572667049617046,2.1,78.4375,60.779535714285714,9.136363636363637,37.69230769230769,60.702380952380935,81.42783882783883,27.4,13.5,4.3,22.7,104.9,0.509,0.7,1.5,0,0,0,11,0,0,0
29,Dwyane Wade,modern,52.10818929403929,2.1,68.425,49.260333333333335,43.06818181818182,28.54285714285714,44.54166666666664,89.94807692307691,22.0,4.7,5.4,21.2,120.7,0.5565,1.5,0.3,3,1,0,13,0,0,3
30,Kawhi Leonard,modern,51.29017610722611,2.1,71.60909090909091,37.963484848484846,43.13636363636364,36.5,58.9542121212121,64.30256410256409,20.0,6.4,3.0,23.0,86.5,0.5849,1.8,0.8,2,2,0,6,2,3,4
31,Russell Westbrook,golden_age,51.057689912506845,2.1,71.8,59.64275,20.163385002094692,34.42032967032967,47.195833333333326,84.94038461538462,21.7,7.1,8.1,21.4,113.9,0.5167,1.3,8.0,0,0,1,9,0,0,0
32,Dwight Howard,golden_age,49.73800921008816,2.1,58.96428571428571,54.81,17.82272727272727,44.230769230769226,54.583333333333336,85.96491228070175,15.7,11.8,1.3,22.0,141.0,0.6436,0.7,2.0,1,0,0,8,3,4,1
33,Allen Iverson,golden_age,49.41397951439946,2.1,71.7625,55.22428571428572,16.076864147088873,40.01373626373626,43.32988095238094,82.9970695970696,26.7,3.7,6.2,20.9,99.0,0.503,1.3,0.3,0,0,1,11,0,0,0
34,Patrick Ewing,golden_age,49.0274438365556,2.1,68.275,56.59525000000001,9.477272727272728,26.592307692307692,61.374999999999986,89.62843137254902,21.0,9.8,1.9,21.6,126.4,0.578,0.7,1.5,0,0,0,11,0,0,3
35,Scottie Pippen,golden_age,48.63401013496307,2.1,48.37857142857143,51.379571428571424,49.18181818181818,37.176923076923075,34.32704761904761,81.20422322775262,16.1,6.4,5.2,18.6,125.1,0.5434,2.0,0.8,6,0,0,7,0,8,2
36,Rick Barry,golden_age,47.771089581252085,2.1,71.5,53.5704375,21.345454545454544,25.373626373626376,48.957380952380944,73.38260073260072,23.2,6.5,5.1,21.4,114.2,0.5383,1.0,0.8,1,1,0,8,0,0,0
37,Julius Erving,early_modern,47.502564066635124,2.1,73.0,46.37755082731913,15.213636363636363,35.5,50.25619461697724,77.20897435897436,22.0,6.7,3.9,20.6,126.0,0.5847,1.0,0.8,1,0,1,11,0,0,0
38,Robert Parish,post_jordan,46.92429516974254,2.1,46.78947368421052,59.97,40.54545454545455,11.642857142857144,48.43,84.52380952380953,14.5,9.1,1.4,19.2,147.0,0.6091,0.7,1.5,4,0,0,9,0,0,0
39,John Stockton,golden_age,46.872030019103704,2.1,40.62142857142857,78.232,12.40909090909091,31.03846153846154,48.12095238095239,87.45614035087719,13.1,2.7,10.5,21.8,207.7,0.5976,2.2,0.3,0,0,0,10,0,0,5
40,Bob McAdoo,golden_age,46.08842266067266,2.1,69.775,44.170625,18.94090909090909,22.447802197802197,62.09797619047619,68.29249084249085,22.1,9.4,2.3,20.8,88.0,0.5784,0.7,1.5,2,0,1,5,0,0,0
41,Gary Payton,golden_age,45.675701411333776,2.1,54.12142857142857,58.76,16.8,43.88461538461539,29.345476190476194,87.54901960784314,16.3,3.9,6.7,19.0,145.5,0.5389,1.8,0.3,1,0,0,9,1,9,0
42,Tony Parker,golden_age,45.2013795049037,2.1,44.92857142857143,42.67999999999999,65.68387096774192,11.923076923076923,30.181666666666672,82.27179487179487,15.5,2.7,5.6,18.2,105.5,0.5661,1.3,0.3,4,1,0,6,0,0,0
43,Steve Nash,golden_age,45.192269130869136,2.1,48.432142857142864,54.482,28.18181818181818,33.230769230769226,37.866666666666674,83.08461538461539,14.3,3.0,8.5,20.0,129.7,0.5804,1.3,0.3,0,0,2,8,0,0,0
44,George Mikan,pre_merger,45.17614835164836,2.1,66.82045454545455,40.2975,30.704545454545453,27.428571428571427,54.30000000000001,53.52362637362637,23.1,13.4,2.8,24.0,76.0,0.4822,0.7,1.5,5,0,0,4,0,0,0
45,Clyde Drexler,golden_age,44.16020949467199,2.1,62.007142857142846,55.722973214285716,16.186363636363634,18.03846153846154,41.37771428571427,84.64487179487179,20.4,6.1,5.6,19.4,135.4,0.5508,1.0,0.8,1,0,0,10,0,0,0
46,Dolph Schayes,golden_age,44.13387054612055,2.1,57.72142857142856,59.798125,13.322727272727272,37.84615384615385,25.04464285714285,85.31794871794871,18.5,12.1,3.1,18.0,142.0,0.4649,0.7,1.5,1,0,0,12,0,0,0
